"CPI value",Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,2017/05/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,2.77,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,9.75,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/06/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,2.77,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,9.75,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/07/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/08/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/09/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/10/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/11/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
,2017/12/01,2.13,9.8,2.13,2.63,7,10.5,6.280000000000001,6.3831999999999995,3.33,2.23,5.08,2.13,8.5,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.38,9.5,3.85,2.13,8.15,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.075,2.13,10.25,2.83,3.89,2.13,4.325,2.13,2.13,2.13,2.13,5,11,2.33,2.625,2.13
251.104,2018/01/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/02/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
